"Year","Region","centroid_longitude","centroid_latitude","centroid_latitude_Median","centroid_longitude_Median","centroid_latitude_Quantile_05","centroid_longitude_Quantile_05","centroid_latitude_Quantile_95","centroid_longitude_Quantile_95"
2001,"Canada",-61.34644253613,44.0047382476618,43.6477844561215,-61.4521208708932,42.4111973531474,-66.7394091244164,46.9905992629118,-52.8033593913449
2001,"USA",-68.4949087893177,43.4435139228866,43.884642179298,-68.4449024540842,41.2031332967381,-70.0311587958048,44.234872291373,-67.4632928793081
2002,"Canada",-61.4420640338148,43.9188578150787,43.6477844561215,-62.0850976578281,42.4075202134042,-66.6768278311166,46.9556653057742,-52.4834030904622
2002,"USA",-68.4768464872568,43.3524569482297,43.757152453289,-68.3518390156365,40.9462303037647,-70.0911549027019,44.2393141227143,-67.4366679300485
2003,"Canada",-62.2697708006278,43.8273407105922,43.5019195519284,-62.6796956012579,42.4024412228295,-66.763908620741,46.7392571361682,-54.9214245024429
2003,"USA",-68.3535369100218,43.5040799838477,43.9165864225712,-68.3095205941739,41.3397682242646,-70.031076554225,44.2471712677831,-67.4366076452732
2004,"Canada",-61.5420182918024,44.0242354993782,43.7118732600672,-62.0850976578281,42.4036916390871,-66.74697119275,47.1881099096187,-52.0503697711365
2004,"USA",-68.4921192074576,43.4392496518492,43.7270355196086,-68.3518390156365,41.3962894119266,-70.031216905153,44.2373505098762,-67.4376602111372
2005,"Canada",-62.0910734060144,43.8396015961592,43.6089349267247,-62.3731300161606,42.4011282890251,-66.7597745022031,46.0766994056645,-53.9754572478138
2005,"USA",-68.4634312712856,43.4600241898042,43.757152453289,-68.4991636617457,41.3857306816858,-70.0310399152306,44.2434635656447,-67.4367826489706
2006,"Canada",-61.950169196695,43.8956975678581,43.6641186526927,-61.5365919831884,42.4216941837979,-66.7498792532808,46.2964252977091,-57.4550861728027
2006,"USA",-68.3471453606137,43.5248963903996,43.9165864225712,-68.3095205941739,41.204922199684,-69.9866417457581,44.2383852437328,-67.435412426541
